[2026-06-25 19:28:42] system info:
    hostname: i305
    platform: Linux-6.8.0-83-generic-x86_64-with-glibc2.35
    python: 3.10.12
    torch: 2.9.1+cu128
    world_size: 8
    cuda: 12.8
    cudnn: 91002
    gpu_name: NVIDIA B200
    gpus_visible: 8
    gpu_mem_gib: 178.35
    gpu_capability: 10.0
    gpu_sm_count: 148
    nvidia_driver: 580.82.07
    cpu_affinity: 64
    cpu_cores_logical: 768
    cpu_cores_physical: 384
    ram_total_gib: 3022.95
    ram_available_gib: 2940.91
[2026-06-25 19:28:42] GPU-hour budget: 192 GPU-h on 8 ranks => wall-clock cutoff 24.000h (clock starts after step 0; checked every step).
[2026-06-25 19:53:39] step 000164 | loss 2.907660 | lrm 1.0000 | dt_ms 7330.7
[2026-06-25 19:53:47] step 000165 | loss 2.787593 | lrm 1.0000 | dt_ms 7264.2
[2026-06-25 19:53:54] step 000166 | loss 2.558815 | lrm 1.0000 | dt_ms 7207.2
[2026-06-25 19:54:01] step 000167 | loss 2.136152 | lrm 1.0000 | dt_ms 7065.8
[2026-06-25 19:54:08] step 000168 | loss 2.635603 | lrm 1.0000 | dt_ms 7021.4
[2026-06-25 19:54:16] step 000169 | loss 2.075393 | lrm 1.0000 | dt_ms 7807.6
[2026-06-25 19:54:23] step 000170 | loss 2.619294 | lrm 1.0000 | dt_ms 7422.5
[2026-06-25 19:54:30] step 000171 | loss 2.113627 | lrm 1.0000 | dt_ms 7058.1
[2026-06-25 19:54:37] step 000172 | loss 2.870531 | lrm 1.0000 | dt_ms 7039.0
[2026-06-25 19:54:44] step 000173 | loss 2.117213 | lrm 1.0000 | dt_ms 7066.3
[2026-06-25 19:54:51] step 000174 | loss 2.023707 | lrm 1.0000 | dt_ms 7067.4
[2026-06-25 19:54:59] step 000175 | loss 2.003632 | lrm 1.0000 | dt_ms 7333.2
[2026-06-25 19:55:06] step 000176 | loss 2.428331 | lrm 1.0000 | dt_ms 7276.1
[2026-06-25 19:55:13] step 000177 | loss 2.206768 | lrm 1.0000 | dt_ms 7199.2
[2026-06-25 19:55:21] step 000178 | loss 2.353782 | lrm 1.0000 | dt_ms 7351.2
[2026-06-25 19:55:28] step 000179 | loss 1.658912 | lrm 1.0000 | dt_ms 7084.6
[2026-06-25 19:55:35] step 000180 | loss 2.007603 | lrm 1.0000 | dt_ms 7100.1
[2026-06-25 19:55:42] step 000181 | loss 2.223613 | lrm 1.0000 | dt_ms 7010.2
[2026-06-25 19:55:49] step 000182 | loss 1.854552 | lrm 1.0000 | dt_ms 7020.9
[2026-06-25 19:55:56] step 000183 | loss 1.830066 | lrm 1.0000 | dt_ms 7188.7
[2026-06-25 19:56:03] step 000184 | loss 2.629769 | lrm 1.0000 | dt_ms 7404.8
